,date,league,side,teamname,result,win_rate_before,avg_kills_before,avg_deaths_before,avg_assists_before,avg_dragons_before,avg_barons_before,avg_heralds_before,avg_towers_before,avg_visionscore_before,avg_earnedgold_before,avg_earned gpm_before,avg_cspm_before,avg_golddiffat15_before,avg_xpdiffat15_before,avg_csdiffat15_before,avg_firstblood_before,avg_firsttower_before
11,2026-03-22,FST,Red,Bilibili Gaming,0,0.8181818181818182,20.181818181818183,10.818181818181818,43.45454545454545,2.6363636363636362,1.1818181818181819,1.0,8.090909090909092,309.54545454545456,45002.545454545456,1453.6056272727271,36.0538,1753.7272727272727,1149.3636363636363,14.818181818181818,0.7272727272727273,0.7272727272727273
12,2026-03-22,FST,Red,Bilibili Gaming,1,0.75,19.583333333333332,11.833333333333334,42.166666666666664,2.6666666666666665,1.25,0.9166666666666666,7.833333333333333,315.5833333333333,45169.583333333336,1435.0624,35.840675,1615.6666666666667,951.75,12.833333333333334,0.75,0.75
13,2026-03-22,FST,Blue,Bilibili Gaming,1,0.7692307692307693,20.23076923076923,11.846153846153847,43.30769230769231,2.769230769230769,1.2307692307692308,0.8461538461538461,7.923076923076923,321.15384615384613,45875.692307692305,1430.3794923076925,35.654930769230766,1605.3846153846155,921.2307692307693,14.0,0.7692307692307693,0.7692307692307693
14,2026-03-22,FST,Blue,Bilibili Gaming,1,0.7857142857142857,20.0,11.357142857142858,43.357142857142854,2.7857142857142856,1.2142857142857142,0.8571428571428571,8.0,319.57142857142856,45544.857142857145,1432.4927142857143,35.70233571428572,1719.2142857142858,908.9285714285714,15.357142857142858,0.7857142857142857,0.7857142857142857
15,2026-05-05,EWC,Red,Deep Cross Gaming,0,0.5,17.5125,14.5625,38.55625,2.425,0.76875,0.55,6.48125,306.15,41960.225,1354.63803875,35.311075625,342.55,295.875,3.0625,0.53125,0.55
16,2026-05-05,EWC,Red,Deep Cross Gaming,1,0.0,10.0,22.0,23.0,4.0,0.0,1.0,3.0,406.0,37216.0,1110.9254,33.2239,614.0,779.0,-27.0,1.0,0.0
17,2026-05-05,EWC,Blue,Deep Cross Gaming,0,0.5,15.0,12.5,31.5,3.0,0.5,0.5,6.5,351.5,41248.5,1347.55015,35.99385,2148.0,1851.0,14.5,1.0,0.5
18,2026-05-12,EWC,Red,Deep Cross Gaming,1,0.3333333333333333,15.0,15.333333333333334,36.0,2.6666666666666665,0.3333333333333333,0.6666666666666666,5.0,375.6666666666667,41223.333333333336,1257.7993333333334,33.965333333333334,516.6666666666666,49.0,-5.333333333333333,1.0,0.3333333333333333
19,2026-05-12,EWC,Blue,Deep Cross Gaming,1,0.5,17.25,15.25,40.75,2.75,0.5,0.75,6.25,368.75,43677.5,1336.3679750000001,34.92215,-129.0,-284.5,-3.75,1.0,0.25
20,2026-05-13,EWC,Blue,Deep Cross Gaming,1,0.6,19.8,13.2,45.6,2.8,0.6,0.8,6.8,349.4,43337.6,1409.68668,35.345420000000004,646.0,180.6,4.0,1.0,0.4
